From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q5JSZ5	Q5JSZ5	reviewed	PRC2B_HUMAN	Protein PRRC2B (HLA-B-associated transcript 2-like 1) (Proline-rich coiled-coil protein 2B)	PRRC2B BAT2L BAT2L1 KIAA0515	Homo sapiens (Human)	2229
Q8WYA6	Q8WYA6	reviewed	CTBL1_HUMAN	Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19)	CTNNBL1 C20orf33 PP8304	Homo sapiens (Human)	563
Q96RS0	Q96RS0	reviewed	TGS1_HUMAN	Trimethylguanosine synthase (EC 2.1.1.-) (CLL-associated antigen KW-2) (Cap-specific guanine-N2 methyltransferase) (Hepatocellular carcinoma-associated antigen 137) (Nuclear receptor coactivator 6-interacting protein) (PRIP-interacting protein with methyltransferase motif) (PIMT) (PIPMT)	TGS1 HCA137 NCOA6IP PIMT	Homo sapiens (Human)	853
P07814	P07814	reviewed	SYEP_HUMAN	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	EPRS1 EPRS GLNS PARS QARS QPRS PIG32	Homo sapiens (Human)	1512
O43324	O43324	reviewed	MCA3_HUMAN	Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18)	EEF1E1 AIMP3 P18	Homo sapiens (Human)	174
Q9HCD6	Q9HCD6	reviewed	TANC2_HUMAN	Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)	TANC2 KIAA1148 KIAA1636	Homo sapiens (Human)	1990
O75923	O75923	reviewed	DYSF_HUMAN	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)	DYSF FER1L1	Homo sapiens (Human)	2080
P08670	P08670	reviewed	VIME_HUMAN	Vimentin	VIM	Homo sapiens (Human)	466
O60307	O60307	reviewed	MAST3_HUMAN	Microtubule-associated serine/threonine-protein kinase 3 (EC 2.7.11.1)	MAST3 KIAA0561	Homo sapiens (Human)	1309
O15027	O15027	reviewed	SC16A_HUMAN	Protein transport protein Sec16A (SEC16 homolog A) (p250)	SEC16A KIAA0310 SEC16 SEC16L	Homo sapiens (Human)	2357
P50747	P50747	reviewed	BPL1_HUMAN	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	HLCS	Homo sapiens (Human)	726
P05455	P05455	reviewed	LA_HUMAN	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)	SSB	Homo sapiens (Human)	408
Q8TBZ3	Q8TBZ3	reviewed	WDR20_HUMAN	WD repeat-containing protein 20 (Protein DMR)	WDR20	Homo sapiens (Human)	569
Q8TF01	Q8TF01	reviewed	PNISR_HUMAN	Arginine/serine-rich protein PNISR (PNN-interacting serine/arginine-rich protein) (SR-related protein) (SR-rich protein) (Serine/arginine-rich-splicing regulatory protein 130) (SRrp130) (Splicing factor, arginine/serine-rich 130) (Splicing factor, arginine/serine-rich 18)	PNISR C6orf111 SFRS18 SRRP130 HSPC261 HSPC306	Homo sapiens (Human)	805
P49756	P49756	reviewed	RBM25_HUMAN	RNA-binding protein 25 (Arg/Glu/Asp-rich protein of 120 kDa) (RED120) (Protein S164) (RNA-binding motif protein 25) (RNA-binding region-containing protein 7)	RBM25 RNPC7	Homo sapiens (Human)	843
Q9UPZ3	Q9UPZ3	reviewed	HPS5_HUMAN	BLOC-2 complex member HPS5 (Alpha-integrin-binding protein 63) (Hermansky-Pudlak syndrome 5 protein) (Ruby-eye protein 2 homolog) (Ru2)	HPS5 AIBP63 KIAA1017	Homo sapiens (Human)	1129
Q9BX66	Q9BX66	reviewed	SRBS1_HUMAN	Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP)	SORBS1 KIAA0894 KIAA1296 SH3D5	Homo sapiens (Human)	1292
Q9NV70	Q9NV70	reviewed	EXOC1_HUMAN	Exocyst complex component 1 (Exocyst complex component Sec3)	EXOC1 SEC3 SEC3L1 BM-012	Homo sapiens (Human)	894
O75069	O75069	reviewed	TMCC2_HUMAN	Transmembrane and coiled-coil domains protein 2 (Cerebral protein 11)	TMCC2 KIAA0481 hucep-11	Homo sapiens (Human)	709
Q9NQP4	Q9NQP4	reviewed	PFD4_HUMAN	Prefoldin subunit 4 (Protein C-1)	PFDN4 PFD4	Homo sapiens (Human)	134
Q969V6	Q969V6	reviewed	MRTFA_HUMAN	Myocardin-related transcription factor A (MRTF-A) (MKL/myocardin-like protein 1) (Megakaryoblastic leukemia 1 protein) (Megakaryocytic acute leukemia protein)	MRTFA KIAA1438 MAL MKL1	Homo sapiens (Human)	931
Q9UBC2	Q9UBC2	reviewed	EP15R_HUMAN	Epidermal growth factor receptor substrate 15-like 1 (Eps15-related protein) (Eps15R)	EPS15L1 EPS15R	Homo sapiens (Human)	864
P40763	P40763	reviewed	STAT3_HUMAN	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	Homo sapiens (Human)	770
P15374	P15374	reviewed	UCHL3_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L3 (UCH-L3) (EC 3.4.19.12) (Ubiquitin thioesterase L3)	UCHL3	Homo sapiens (Human)	230
O43815	O43815	reviewed	STRN_HUMAN	Striatin	STRN	Homo sapiens (Human)	780
Q9BZI7	Q9BZI7	reviewed	REN3B_HUMAN	Regulator of nonsense transcripts 3B (Nonsense mRNA reducing factor 3B) (Up-frameshift suppressor 3 homolog B) (hUpf3B) (Up-frameshift suppressor 3 homolog on chromosome X) (hUpf3p-X)	UPF3B RENT3B UPF3X	Homo sapiens (Human)	483
Q9H0W5	Q9H0W5	reviewed	CCDC8_HUMAN	Coiled-coil domain-containing protein 8	CCDC8	Homo sapiens (Human)	538
Q08AE8	Q08AE8	reviewed	SPIR1_HUMAN	Protein spire homolog 1 (Spir-1)	SPIRE1 KIAA1135 SPIR1	Homo sapiens (Human)	756
Q00688	Q00688	reviewed	FKBP3_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP3 (PPIase FKBP3) (EC 5.2.1.8) (25 kDa FK506-binding protein) (25 kDa FKBP) (FKBP-25) (FK506-binding protein 3) (FKBP-3) (Immunophilin FKBP25) (Rapamycin-selective 25 kDa immunophilin) (Rotamase)	FKBP3 FKBP25	Homo sapiens (Human)	224
Q5VT25	Q5VT25	reviewed	MRCKA_HUMAN	Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPA KIAA0451	Homo sapiens (Human)	1732
P85299	P85299	reviewed	PRR5_HUMAN	Proline-rich protein 5 (Protein observed with Rictor-1) (Protor-1)	PRR5 PROTOR1 PP610	Homo sapiens (Human)	388
Q96Q05	Q96Q05	reviewed	TPPC9_HUMAN	Trafficking protein particle complex subunit 9 (NIK- and IKBKB-binding protein) (Tularik gene 1 protein)	TRAPPC9 KIAA1882 NIBP T1	Homo sapiens (Human)	1148
P36404	P36404	reviewed	ARL2_HUMAN	ADP-ribosylation factor-like protein 2	ARL2	Homo sapiens (Human)	184
Q8IWW6	Q8IWW6	reviewed	RHG12_HUMAN	Rho GTPase-activating protein 12 (Rho-type GTPase-activating protein 12)	ARHGAP12	Homo sapiens (Human)	846
Q9ULV5	Q9ULV5	reviewed	HSF4_HUMAN	Heat shock factor protein 4 (HSF 4) (hHSF4) (Heat shock transcription factor 4) (HSTF 4)	HSF4	Homo sapiens (Human)	492
O14639	O14639	reviewed	ABLM1_HUMAN	Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)	ABLIM1 ABLIM KIAA0059 LIMAB1	Homo sapiens (Human)	778
O14681	O14681	reviewed	EI24_HUMAN	Etoposide-induced protein 2.4 homolog (p53-induced gene 8 protein)	EI24 PIG8	Homo sapiens (Human)	340
P62070	P62070	reviewed	RRAS2_HUMAN	Ras-related protein R-Ras2 (EC 3.6.5.-) (Ras-like protein TC21) (Teratocarcinoma oncogene)	RRAS2 TC21	Homo sapiens (Human)	204
Q7Z478	Q7Z478	reviewed	DHX29_HUMAN	ATP-dependent RNA helicase DHX29 (EC 3.6.4.13) (DEAH box protein 29) (Nucleic acid helicase DDXx)	DHX29 DDX29	Homo sapiens (Human)	1369
Q9P2B4	Q9P2B4	reviewed	CT2NL_HUMAN	CTTNBP2 N-terminal-like protein	CTTNBP2NL KIAA1433	Homo sapiens (Human)	639
O75152	O75152	reviewed	ZC11A_HUMAN	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810
Q86UW6	Q86UW6	reviewed	N4BP2_HUMAN	NEDD4-binding protein 2 (N4BP2) (EC 3.-.-.-) (BCL-3-binding protein)	N4BP2 B3BP KIAA1413	Homo sapiens (Human)	1770
Q15942	Q15942	reviewed	ZYX_HUMAN	Zyxin (Zyxin-2)	ZYX	Homo sapiens (Human)	572
Q9H2M9	Q9H2M9	reviewed	RBGPR_HUMAN	Rab3 GTPase-activating protein non-catalytic subunit (RGAP-iso) (Rab3 GTPase-activating protein 150 kDa subunit) (Rab3-GAP p150) (Rab3-GAP150) (Rab3-GAP regulatory subunit)	RAB3GAP2 KIAA0839	Homo sapiens (Human)	1393
Q8NCW6	Q8NCW6	reviewed	GLT11_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11)	GALNT11	Homo sapiens (Human)	608
O95359	O95359	reviewed	TACC2_HUMAN	Transforming acidic coiled-coil-containing protein 2 (Anti-Zuai-1) (AZU-1)	TACC2	Homo sapiens (Human)	2948
Q9Y6E2	Q9Y6E2	reviewed	5MP1_HUMAN	eIF5-mimic protein 1 (Basic leucine zipper and W2 domain-containing protein 2)	BZW2 5MP1 HSPC028 MSTP017	Homo sapiens (Human)	419
Q15652	Q15652	reviewed	JHD2C_HUMAN	Probable JmjC domain-containing histone demethylation protein 2C (EC 1.14.11.-) (Jumonji domain-containing protein 1C) (Thyroid receptor-interacting protein 8) (TR-interacting protein 8) (TRIP-8)	JMJD1C JHDM2C KIAA1380 TRIP8	Homo sapiens (Human)	2540
Q13428	Q13428	reviewed	TCOF_HUMAN	Treacle protein (Treacher Collins syndrome protein)	TCOF1	Homo sapiens (Human)	1488
Q8N9B5	Q8N9B5	reviewed	JMY_HUMAN	Junction-mediating and -regulatory protein	JMY	Homo sapiens (Human)	988
Q9H7N4	Q9H7N4	reviewed	SFR19_HUMAN	Splicing factor, arginine/serine-rich 19 (SR-related C-terminal domain-associated factor 1) (SR-related and CTD-associated factor 1) (SR-related-CTD-associated factor) (SCAF) (Serine arginine-rich pre-mRNA splicing factor SR-A1) (SR-A1)	SCAF1 SFRS19 SRA1	Homo sapiens (Human)	1312
P16455	P16455	reviewed	MGMT_HUMAN	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	MGMT	Homo sapiens (Human)	207
Q07065	Q07065	reviewed	CKAP4_HUMAN	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	CKAP4	Homo sapiens (Human)	602
P12270	P12270	reviewed	TPR_HUMAN	Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)	TPR	Homo sapiens (Human)	2363
Q13136	Q13136	reviewed	LIPA1_HUMAN	Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)	PPFIA1 LIP1	Homo sapiens (Human)	1202
O00192	O00192	reviewed	ARVC_HUMAN	Splicing regulator ARVCF (Armadillo repeat protein deleted in velo-cardio-facial syndrome)	ARVCF	Homo sapiens (Human)	962
Q9Y4E8	Q9Y4E8	reviewed	UBP15_HUMAN	Ubiquitin carboxyl-terminal hydrolase 15 (EC 3.4.19.12) (Deubiquitinating enzyme 15) (Ubiquitin thioesterase 15) (Ubiquitin-specific-processing protease 15) (Unph-2) (Unph4)	USP15 KIAA0529	Homo sapiens (Human)	981
Q8TED9	Q8TED9	reviewed	AF1L1_HUMAN	Actin filament-associated protein 1-like 1 (AFAP1-like protein 1)	AFAP1L1	Homo sapiens (Human)	768
Q53GL0	Q53GL0	reviewed	PKHO1_HUMAN	Pleckstrin homology domain-containing family O member 1 (PH domain-containing family O member 1) (C-Jun-binding protein) (JBP) (Casein kinase 2-interacting protein 1) (CK2-interacting protein 1) (CKIP-1) (Osteoclast maturation-associated gene 120 protein)	PLEKHO1 CKIP1 OC120 HQ0024c	Homo sapiens (Human)	409
Q06413	Q06413	reviewed	MEF2C_HUMAN	Myocyte-specific enhancer factor 2C (Myocyte enhancer factor 2C)	MEF2C	Homo sapiens (Human)	473
Q2M1Z3	Q2M1Z3	reviewed	RHG31_HUMAN	Rho GTPase-activating protein 31 (Cdc42 GTPase-activating protein)	ARHGAP31 CDGAP KIAA1204	Homo sapiens (Human)	1444
O43395	O43395	reviewed	PRPF3_HUMAN	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	PRPF3 HPRP3 PRP3	Homo sapiens (Human)	683
Q70EL1	Q70EL1	reviewed	UBP54_HUMAN	Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54)	USP54 C10orf29	Homo sapiens (Human)	1684
Q12830	Q12830	reviewed	BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)	BPTF FAC1 FALZ	Homo sapiens (Human)	3046
Q96EZ8	Q96EZ8	reviewed	MCRS1_HUMAN	Microspherule protein 1 (58 kDa microspherule protein) (Cell cycle-regulated factor p78) (INO80 complex subunit J) (MCRS2)	MCRS1 INO80Q MSP58	Homo sapiens (Human)	462
Q92733	Q92733	reviewed	PRCC_HUMAN	Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)	PRCC TPRC	Homo sapiens (Human)	491
P13861	P13861	reviewed	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A PKR2 PRKAR2	Homo sapiens (Human)	404
Q8ND56	Q8ND56	reviewed	LS14A_HUMAN	Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A)	LSM14A C19orf13 FAM61A RAP55 RAP55A	Homo sapiens (Human)	463
Q5JTH9	Q5JTH9	reviewed	RRP12_HUMAN	RRP12-like protein	RRP12 KIAA0690	Homo sapiens (Human)	1297
Q5VWQ8	Q5VWQ8	reviewed	DAB2P_HUMAN	Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein)	DAB2IP AF9Q34 AIP1 KIAA1743	Homo sapiens (Human)	1189
Q9UQE7	Q9UQE7	reviewed	SMC3_HUMAN	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)	SMC3 BAM BMH CSPG6 SMC3L1	Homo sapiens (Human)	1217
Q9NSI2	Q9NSI2	reviewed	SLX9_HUMAN	Ribosome biogenesis protein SLX9 homolog	SLX9 C21orf70 FAM207A PRED56	Homo sapiens (Human)	230
Q9BRJ6	Q9BRJ6	reviewed	CG050_HUMAN	Uncharacterized protein C7orf50	C7orf50 FP15621	Homo sapiens (Human)	194
Q53T59	Q53T59	reviewed	H1BP3_HUMAN	HCLS1-binding protein 3 (HS1-binding protein 3) (HSP1BP-3)	HS1BP3	Homo sapiens (Human)	392
Q12906	Q12906	reviewed	ILF3_HUMAN	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	894
P58546	P58546	reviewed	MTPN_HUMAN	Myotrophin (Protein V-1)	MTPN	Homo sapiens (Human)	118
Q6PD62	Q6PD62	reviewed	CTR9_HUMAN	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	CTR9 KIAA0155 SH2BP1	Homo sapiens (Human)	1173
A8MW95	A8MW95	reviewed	BECN2_HUMAN	Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)	BECN2 BECN1L1 BECN1P1	Homo sapiens (Human)	431
Q9UPU7	Q9UPU7	reviewed	TBD2B_HUMAN	TBC1 domain family member 2B	TBC1D2B KIAA1055	Homo sapiens (Human)	963
Q5BKZ1	Q5BKZ1	reviewed	ZN326_HUMAN	DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs and DBC1)	ZNF326 ZIRD	Homo sapiens (Human)	582
O95466	O95466	reviewed	FMNL1_HUMAN	Formin-like protein 1 (CLL-associated antigen KW-13) (Leukocyte formin)	FMNL1 C17orf1 C17orf1B FMNL FRL1	Homo sapiens (Human)	1100
Q8TCT9	Q8TCT9	reviewed	HM13_HUMAN	Minor histocompatibility antigen H13 (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Presenilin-like protein 3) (Signal peptide peptidase)	HM13 H13 IMP1 PSL3 SPP MSTP086	Homo sapiens (Human)	377
Q13435	Q13435	reviewed	SF3B2_HUMAN	Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145)	SF3B2 SAP145	Homo sapiens (Human)	895
P21291	P21291	reviewed	CSRP1_HUMAN	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	CSRP1 CSRP CYRP	Homo sapiens (Human)	193
Q14814	Q14814	reviewed	MEF2D_HUMAN	Myocyte-specific enhancer factor 2D	MEF2D	Homo sapiens (Human)	521
Q14847	Q14847	reviewed	LASP1_HUMAN	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)	LASP1 MLN50	Homo sapiens (Human)	261
Q765P7	Q765P7	reviewed	MTSS2_HUMAN	Protein MTSS 2 (Actin-bundling with BAIAP2 homology protein 1) (ABBA-1) (MTSS1-like protein)	MTSS2 MTSS1L	Homo sapiens (Human)	747
Q6NZ67	Q6NZ67	reviewed	MZT2B_HUMAN	Mitotic-spindle organizing protein 2B (Mitotic-spindle organizing protein associated with a ring of gamma-tubulin 2B)	MZT2B FAM128B MOZART2B	Homo sapiens (Human)	158
Q86UU1	Q86UU1	reviewed	PHLB1_HUMAN	Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha)	PHLDB1 KIAA0638 LL5A DLNB07	Homo sapiens (Human)	1377
Q13017	Q13017	reviewed	RHG05_HUMAN	Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B)	ARHGAP5 RHOGAP5	Homo sapiens (Human)	1502
Q9UQR1	Q9UQR1	reviewed	ZN148_HUMAN	Zinc finger protein 148 (Transcription factor ZBP-89) (Zinc finger DNA-binding protein 89)	ZNF148 ZBP89	Homo sapiens (Human)	794
Q99459	Q99459	reviewed	CDC5L_HUMAN	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)	802
Q9UHR5	Q9UHR5	reviewed	S30BP_HUMAN	SAP30-binding protein (Transcriptional regulator protein HCNGP)	SAP30BP HCNGP HTRG HTRP	Homo sapiens (Human)	308
Q9UK61	Q9UK61	reviewed	TASOR_HUMAN	Protein TASOR (CTCL tumor antigen se89-1) (Retinoblastoma-associated protein RAP140) (Transgene activation suppressor protein)	TASOR C3orf63 FAM208A KIAA1105	Homo sapiens (Human)	1670
P04083	P04083	reviewed	ANXA1_HUMAN	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26]	ANXA1 ANX1 LPC1	Homo sapiens (Human)	346
Q9UKS6	Q9UKS6	reviewed	PACN3_HUMAN	Protein kinase C and casein kinase substrate in neurons protein 3 (SH3 domain-containing protein 6511)	PACSIN3	Homo sapiens (Human)	424
P78527	P78527	reviewed	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)	4128
P04439	P04439	reviewed	HLAA_HUMAN	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	HLA-A HLAA	Homo sapiens (Human)	365
Q5VT97	Q5VT97	reviewed	SYDE2_HUMAN	Rho GTPase-activating protein SYDE2 (Synapse defective protein 1 homolog 2) (Protein syd-1 homolog 2)	SYDE2	Homo sapiens (Human)	1194
Q06124	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593
Q16659	Q16659	reviewed	MK06_HUMAN	Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK)	MAPK6 ERK3 PRKM6	Homo sapiens (Human)	721
Q53LP3	Q53LP3	reviewed	SWAHC_HUMAN	Ankyrin repeat domain-containing protein SOWAHC (Ankyrin repeat domain-containing protein 57) (Protein sosondowah homolog C)	SOWAHC ANKRD57 C2orf26	Homo sapiens (Human)	525
Q96I15	Q96I15	reviewed	SCLY_HUMAN	Selenocysteine lyase (hSCL) (EC 4.4.1.16)	SCLY SCL	Homo sapiens (Human)	445
P27448	P27448	reviewed	MARK3_HUMAN	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)	MARK3 CTAK1 EMK2	Homo sapiens (Human)	753
Q9Y6X8	Q9Y6X8	reviewed	ZHX2_HUMAN	Zinc fingers and homeoboxes protein 2 (Alpha-fetoprotein regulator 1) (AFP regulator 1) (Regulator of AFP) (Zinc finger and homeodomain protein 2)	ZHX2 AFR1 KIAA0854 RAF	Homo sapiens (Human)	837
P04075	P04075	reviewed	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	364
O75925	O75925	reviewed	PIAS1_HUMAN	E3 SUMO-protein ligase PIAS1 (EC 2.3.2.-) (DEAD/H box-binding protein 1) (E3 SUMO-protein transferase PIAS1) (Gu-binding protein) (GBP) (Protein inhibitor of activated STAT protein 1) (RNA helicase II-binding protein)	PIAS1 DDXBP1	Homo sapiens (Human)	651
O75821	O75821	reviewed	EIF3G_HUMAN	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	EIF3G EIF3S4	Homo sapiens (Human)	320
Q15464	Q15464	reviewed	SHB_HUMAN	SH2 domain-containing adapter protein B	SHB	Homo sapiens (Human)	509
Q8IVL1	Q8IVL1	reviewed	NAV2_HUMAN	Neuron navigator 2 (EC 3.6.4.12) (Helicase APC down-regulated 1) (Pore membrane and/or filament-interacting-like protein 2) (Retinoic acid inducible in neuroblastoma 1) (Steerin-2) (Unc-53 homolog 2) (unc53H2)	NAV2 HELAD1 KIAA1419 POMFIL2 RAINB1 STEERIN2	Homo sapiens (Human)	2488
O00203	O00203	reviewed	AP3B1_HUMAN	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	AP3B1 ADTB3A	Homo sapiens (Human)	1094
P63208	P63208	reviewed	SKP1_HUMAN	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
P41227	P41227	reviewed	NAA10_HUMAN	N-alpha-acetyltransferase 10 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (hARD1) (NatA catalytic subunit Naa10)	NAA10 ARD1 ARD1A TE2	Homo sapiens (Human)	235
Q5R3F8	Q5R3F8	reviewed	PPR29_HUMAN	Protein phosphatase 1 regulatory subunit 29 (Extracellular leucine-rich repeat and fibronectin type III domain-containing protein 2) (Leucine-rich repeat and fibronectin type-III domain-containing protein 6) (Leucine-rich repeat-containing protein 62)	ELFN2 KIAA1904 LRRC62 PPP1R29	Homo sapiens (Human)	820
